Plate	Well	ID	medium	dilution_day	rep	tournament	tree	level	how_many	C_number	glucose	fructose	xylose	mannose	cellobiose	maltose	sucrose	citric_acid	fumaric_acid	galacturonic_acid	mannitol	sorbitol	glycerol	proline	cellulose	starch	glucose_c	fructose_c	xylose_c	mannose_c	cellobiose_c	maltose_c	sucrose_c	citric_acid_c	fumaric_acid_c	galacturonic_acid_c	mannitol_c	sorbitol_c	glycerol_c	proline_c	cellulose_c	starch_c
1	E8	56	19	7	b	b	a	a	four	4	N	N	Y	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	0	0	0.25	0.25	0	0	0	0	0	0	0	0.25	0.25	0	0	0
1	E9	57	19	7	c	b	a	a	four	4	N	N	Y	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	0	0	0.25	0.25	0	0	0	0	0	0	0	0.25	0.25	0	0	0
1	E10	58	20	7	a	b	a	b	four	4	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0
1	E11	59	20	7	b	b	a	b	four	4	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0
1	E12	60	20	7	c	b	a	b	four	4	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0
1	F1	61	21	7	a	b	a	c	eight	8	Y	Y	Y	Y	Y	N	N	N	N	N	N	Y	Y	N	Y	N	0.125	0.125	0.125	0.125	0.125	0	0	0	0	0	0	0.125	0.125	0	0.125	0
1	F2	62	21	7	b	b	a	c	eight	8	Y	Y	Y	Y	Y	N	N	N	N	N	N	Y	Y	N	Y	N	0.125	0.125	0.125	0.125	0.125	0	0	0	0	0	0	0.125	0.125	0	0.125	0
1	F3	63	21	7	c	b	a	c	eight	8	Y	Y	Y	Y	Y	N	N	N	N	N	N	Y	Y	N	Y	N	0.125	0.125	0.125	0.125	0.125	0	0	0	0	0	0	0.125	0.125	0	0.125	0
1	F4	64	22	7	a	b	b	a	two	2	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5
1	F5	65	22	7	b	b	b	a	two	2	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5
1	F6	66	22	7	c	b	b	a	two	2	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5
1	F7	67	23	7	a	b	b	a	two	2	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0
