Plate	Well	medium	dilution_day	rep	OD	tournament	tree	level	how_many	n_C_sources	C1	C2	C3	C4	C5	C6	C7	C8	glucose	fructose	xylose	mannose	cellobiose	maltose	sucrose	citric_acid	fumaric_acid	galacturonic_acid	mannitol	sorbitol	glycerol	proline	cellulose	starch	monosaccharide	disaccaride	organic_acid	alcool	polisaccharide	proline	C_F_G_P
1	E8	19	7	b	0.10805	b	a	a	four	4	glycerol	xylose	sorbitol	mannose	NA	NA	NA	NA	N	N	Y	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N	Y	N	N	N
1	E9	19	7	c	0.089499999	b	a	a	four	4	glycerol	xylose	sorbitol	mannose	NA	NA	NA	NA	N	N	Y	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N	Y	N	N	N
1	E10	20	7	a	0.09025	b	a	b	four	4	cellobiose	glucose	cellulose	fructose	NA	NA	NA	NA	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	Y	Y	N	N	Y	N	N
1	E11	20	7	b	0.085650001	b	a	b	four	4	cellobiose	glucose	cellulose	fructose	NA	NA	NA	NA	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	Y	Y	N	N	Y	N	N
1	E12	20	7	c	0.098099999	b	a	b	four	4	cellobiose	glucose	cellulose	fructose	NA	NA	NA	NA	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	Y	Y	N	N	Y	N	N
1	F1	21	7	a	0.083000001	b	a	c	eight	8	glycerol	xylose	sorbitol	mannose	cellobiose	glucose	cellulose	fructose	Y	Y	Y	Y	Y	N	N	N	N	N	N	Y	Y	N	Y	N	Y	Y	N	Y	Y	N	N
1	F2	21	7	b	0.090100002	b	a	c	eight	8	glycerol	xylose	sorbitol	mannose	cellobiose	glucose	cellulose	fructose	Y	Y	Y	Y	Y	N	N	N	N	N	N	Y	Y	N	Y	N	Y	Y	N	Y	Y	N	N
1	F3	21	7	c	0.081900001	b	a	c	eight	8	glycerol	xylose	sorbitol	mannose	cellobiose	glucose	cellulose	fructose	Y	Y	Y	Y	Y	N	N	N	N	N	N	Y	Y	N	Y	N	Y	Y	N	Y	Y	N	N
1	F4	22	7	a	0.091150001	b	b	a	two	2	starch	mannitol	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	Y	Y	N	N
1	F5	22	7	b	0.087049998	b	b	a	two	2	starch	mannitol	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	Y	Y	N	N
1	F6	22	7	c	0.089500003	b	b	a	two	2	starch	mannitol	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	Y	Y	N	N
1	F7	23	7	a	0.072250001	b	b	a	two	2	fumaric_acid	galacturonic_acid	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	Y
1	F8	23	7	b	0.073449999	b	b	a	two	2	fumaric_acid	galacturonic_acid	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	Y
1	F9	23	7	c	0.073850002	b	b	a	two	2	fumaric_acid	galacturonic_acid	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	Y
1	F10	24	7	a	0.082049999	b	b	b	two	2	maltose	citric_acid	NA	NA	NA	NA	NA	NA	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
1	F11	24	7	b	0.085099999	b	b	b	two	2	maltose	citric_acid	NA	NA	NA	NA	NA	NA	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
1	F12	24	7	c	0.08185	b	b	b	two	2	maltose	citric_acid	NA	NA	NA	NA	NA	NA	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
1	G1	25	7	a	0.095449999	b	b	b	two	2	sucrose	proline	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	Y	N	N	N	Y	Y
1	G2	25	7	b	0.094249997	b	b	b	two	2	sucrose	proline	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	Y	N	N	N	Y	Y
1	G3	25	7	c	0.09355	b	b	b	two	2	sucrose	proline	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	Y	N	N	N	Y	Y
1	G4	26	7	a	0.081250001	b	b	a	four	4	starch	mannitol	fumaric_acid	galacturonic_acid	NA	NA	NA	NA	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	N	Y	N	N	Y	Y	Y	N	Y
1	G5	26	7	b	0.086449999	b	b	a	four	4	starch	mannitol	fumaric_acid	galacturonic_acid	NA	NA	NA	NA	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	N	Y	N	N	Y	Y	Y	N	Y
1	G6	26	7	c	0.086649999	b	b	a	four	4	starch	mannitol	fumaric_acid	galacturonic_acid	NA	NA	NA	NA	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	N	Y	N	N	Y	Y	Y	N	Y
1	G7	27	7	a	0.081299998	b	b	b	four	4	maltose	citric_acid	sucrose	proline	NA	NA	NA	NA	N	N	N	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	N	Y	Y	N	N	Y	Y
1	G8	27	7	b	0.087899998	b	b	b	four	4	maltose	citric_acid	sucrose	proline	NA	NA	NA	NA	N	N	N	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	N	Y	Y	N	N	Y	Y
1	G9	27	7	c	0.085050002	b	b	b	four	4	maltose	citric_acid	sucrose	proline	NA	NA	NA	NA	N	N	N	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	N	Y	Y	N	N	Y	Y
1	G10	28	7	a	0.0865	b	b	c	eight	8	starch	mannitol	fumaric_acid	galacturonic_acid	maltose	citric_acid	sucrose	proline	N	N	N	N	N	Y	Y	Y	Y	Y	Y	N	N	Y	N	Y	N	Y	N	Y	Y	Y	Y
1	G11	28	7	b	0.088599999	b	b	c	eight	8	starch	mannitol	fumaric_acid	galacturonic_acid	maltose	citric_acid	sucrose	proline	N	N	N	N	N	Y	Y	Y	Y	Y	Y	N	N	Y	N	Y	N	Y	N	Y	Y	Y	Y
1	G12	28	7	c	0.089400001	b	b	c	eight	8	starch	mannitol	fumaric_acid	galacturonic_acid	maltose	citric_acid	sucrose	proline	N	N	N	N	N	Y	Y	Y	Y	Y	Y	N	N	Y	N	Y	N	Y	N	Y	Y	Y	Y
1	H1	29	7	a	0.080850001	c	a	a	two	2	proline	fumaric_acid	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	Y	N	Y	Y
1	H2	29	7	b	0.078600001	c	a	a	two	2	proline	fumaric_acid	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	Y	N	Y	Y
1	H3	29	7	c	0.081799999	c	a	a	two	2	proline	fumaric_acid	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	Y	N	Y	Y
1	H4	30	7	a	0.077550001	c	a	a	two	2	citric_acid	glycerol	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	Y	Y	N	N	Y
1	H5	30	7	b	0.078899998	c	a	a	two	2	citric_acid	glycerol	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	Y	Y	N	N	Y
1	H6	30	7	c	0.072149999	c	a	a	two	2	citric_acid	glycerol	NA	NA	NA	NA	NA	NA	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	Y	Y	N	N	Y
1	H7	31	7	a	0.085999999	c	a	b	two	2	starch	fructose	NA	NA	NA	NA	NA	NA	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N
1	H8	31	7	b	0.0865	c	a	b	two	2	starch	fructose	NA	NA	NA	NA	NA	NA	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N
1	H9	31	7	c	0.09175	c	a	b	two	2	starch	fructose	NA	NA	NA	NA	NA	NA	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N
1	H10	32	7	a	0.060149999	c	a	b	two	2	cellulose	glucose	NA	NA	NA	NA	NA	NA	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	Y	N	N
1	H11	32	7	b	0.0616	c	a	b	two	2	cellulose	glucose	NA	NA	NA	NA	NA	NA	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	Y	N	N
2	A1	33	7	a	0.0843	c	a	a	four	4	proline	fumaric_acid	citric_acid	glycerol	NA	NA	NA	NA	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	Y	N	N	N	N	Y	Y	N	Y	Y
2	A2	33	7	b	0.081300002	c	a	a	four	4	proline	fumaric_acid	citric_acid	glycerol	NA	NA	NA	NA	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	Y	N	N	N	N	Y	Y	N	Y	Y
